month;KPI
19800101;95.30
19800201;96.80
19800301;97.20
19800401;97.90
19800501;98.20
19800601;98.50
19800701;99.30
19800801;99.90
19800901;102.70
19801001;104.20
19801101;104.80
19801201;105.20
19810101;107.20
19810201;109.30
19810301;109.80
19810401;110.50
19810501;111.20
19810601;111.60
19810701;112.60
19810801;113.50
19810901;114.30
19811001;115.00
19811101;115.40
19811201;114.90
19820101;117.40
19820201;119.00
19820301;119.30
19820401;120.10
19820501;120.70
19820601;121.10
19820701;121.90
19820801;122.20
19820901;122.90
19821001;124.60
19821101;125.60
19821201;125.90
19830101;129.10
19830201;128.80
19830301;129.30
19830401;130.30
19830501;131.10
19830601;131.80
19830701;132.90
19830801;133.50
19830901;134.50
19831001;135.60
19831101;136.40
19831201;137.50
19840101;139.40
19840201;138.90
19840301;140.90
19840401;141.80
19840501;142.80
19840601;142.40
19840701;142.80
19840801;143.90
19840901;144.80
19841001;145.50
19841101;146.40
19841201;148.80
19850101;149.60
19850201;151.00
19850301;152.10
19850401;152.70
19850501;154.50
19850601;153.90
19850701;153.80
19850801;153.80
19850901;154.50
19851001;155.50
19851101;156.50
19851201;157.10
19860101;158.90
19860201;159.00
19860301;158.70
19860401;159.70
19860501;159.70
19860601;159.70
19860701;160.10
19860801;159.90
19860901;161.30
19861001;161.90
19861101;161.90
19861201;162.30
19870101;164.40
19870201;164.40
19870301;164.70
19870401;165.10
19870501;165.20
19870601;164.90
19870701;166.90
19870801;167.80
19870901;169.40
19871001;170.10
19871101;170.70
19871201;170.70
19880101;171.60
19880201;172.90
19880301;173.70
19880401;175.20
19880501;175.80
19880601;176.30
19880701;177.10
19880801;177.50
19880901;178.80
19881001;180.20
19881101;180.50
19881201;180.90
19890101;183.00
19890201;184.00
19890301;184.70
19890401;186.50
19890501;187.30
19890601;187.90
19890701;187.90
19890801;188.70
19890901;190.20
19891001;191.80
19891101;192.20
19891201;192.80
19900101;199.00
19900201;199.90
19900301;205.40
19900401;205.20
19900501;206.40
19900601;206.20
19900701;208.20
19900801;209.60
19900901;212.00
19901001;213.40
19901101;214.10
19901201;213.90
19910101;218.90
19910201;225.00
19910301;225.80
19910401;227.10
19910501;227.30
19910601;227.00
19910701;227.10
19910801;226.70
19910901;229.20
19911001;230.10
19911101;231.10
19911201;230.80
19920101;230.20
19920201;230.30
19920301;231.30
19920401;231.90
19920501;232.00
19920601;231.50
19920701;231.20
19920801;231.30
19920901;234.60
19921001;235.10
19921101;234.00
19921201;234.90
19930101;241.00
19930201;241.60
19930301;242.70
19930401;243.70
19930501;243.10
19930601;242.30
19930701;241.90
19930801;242.30
19930901;244.50
19931001;245.20
19931101;245.30
19931201;244.30
19940101;245.10
19940201;245.90
19940301;246.80
19940401;247.80
19940501;248.30
19940601;248.40
19940701;248.40
19940801;248.50
19940901;250.70
19941001;251.00
19941101;250.80
19941201;250.40
19950101;251.30
19950201;252.30
19950301;253.30
19950401;255.00
19950501;255.30
19950601;255.10
19950701;254.80
19950801;254.50
19950901;256.20
19951001;256.90
19951101;256.80
19951201;256.00
19960101;255.60
19960201;255.80
19960301;257.00
19960401;257.60
19960501;257.30
19960601;256.30
19960701;255.70
19960801;254.50
19960901;256.00
19961001;255.90
19961101;255.30
19961201;254.90
19970101;254.60
19970201;254.20
19970301;255.20
19970401;257.00
19970501;257.00
19970601;257.40
19970701;257.30
19970801;257.40
19970901;259.80
19971001;259.60
19971101;259.20
19971201;259.10
19980101;256.90
19980201;256.60
19980301;257.00
19980401;257.70
19980501;258.10
19980601;257.60
19980701;257.00
19980801;255.70
19980901;256.80
19981001;257.30
19981101;256.70
19981201;256.20
19990101;256.20
19990201;256.30
19990301;257.30
19990401;257.90
19990501;258.30
19990601;258.70
19990701;257.60
19990801;257.60
19990901;259.40
19991001;259.70
19991101;259.00
19991201;259.60
20000101;257.50
20000201;258.70
20000301;259.90
20000401;260.00
20000501;261.30
20000601;261.20
20000701;260.00
20000801;260.20
20000901;262.00
20001001;262.60
20001101;262.70
20001201;262.50
20010101;261.70
20010201;262.60
20010301;264.60
20010401;266.90
20010501;268.70
20010601;268.30
20010701;266.90
20010801;267.60
20010901;269.90
20011001;269.10
20011101;269.20
20011201;269.50
20020101;268.80
20020201;269.40
20020301;271.80
20020401;272.90
20020501;273.60
20020601;273.20
20020701;272.30
20020801;272.40
20020901;274.50
20021001;275.40
20021101;274.70
20021201;275.10
20030101;276.00
20030201;278.40
20030301;279.80
20030401;278.80
20030501;278.50
20030601;277.70
20030701;276.80
20030801;276.70
20030901;278.70
20031001;278.90
20031101;278.30
20031201;278.60
20040101;278.00
20040201;277.30
20040301;279.40
20040401;279.40
20040501;280.10
20040601;278.90
20040701;278.50
20040801;278.20
20040901;280.20
20041001;281.00
20041101;279.40
20041201;279.40
20050101;277.90
20050201;279.20
20050301;279.80
20050401;280.20
20050501;280.30
20050601;280.40
20050701;279.40
20050801;279.90
20050901;281.90
20051001;282.40
20051101;281.70
20051201;281.80
20060101;279.59
20060201;280.90
20060301;282.89
20060401;284.32
20060501;284.76
20060601;284.68
20060701;284.19
20060801;284.38
20060901;286.04
20061001;286.07
20061101;286.43
20061201;286.43
20070101;285.01
20070201;286.45
20070301;288.33
20070401;289.79
20070501;289.48
20070601;289.95
20070701;289.49
20070801;289.41
20070901;292.30
20071001;293.85
20071101;295.75
20071201;296.32
20080101;294.09
20080201;295.28
20080301;298.08
20080401;299.67
20080501;300.99
20080601;302.45
20080701;302.11
20080801;301.98
20080901;305.08
20081001;305.56
20081101;303.06
20081201;298.99
20090101;297.88
20090201;297.95
20090301;298.80
20090401;299.26
20090501;299.45
20090601;300.17
20090701;298.80
20090801;299.42
20090901;300.35
20091001;301.11
20091101;301.03
20091201;301.69
20100101;299.79
20100201;301.59
20100301;302.32
20100401;302.36
20100501;302.92
20100601;302.97
20100701;302.04
20100801;302.06
20100901;304.60
20101001;305.57
20101101;306.58
20101201;308.73
20110101;306.15
20110201;308.02
20110301;310.11
20110401;311.44
20110501;312.02
20110601;311.28
20110701;311.13
20110801;311.23
20110901;313.41
20111001;313.42
20111101;314.16
20111201;314.78
20120101;311.85
20120201;313.92
20120301;314.80
20120401;315.49
20120501;315.23
20120601;314.45
20120701;313.23
20120801;313.55
20120901;314.81
20121001;314.59
20121101;313.82
20121201;314.61
20130101;312.00
20130201;313.39
20130301;314.65
20130401;314.03
20130501;314.54
20130601;313.99
20130701;313.55
20130801;313.84
20130901;315.05
20131001;314.40
20131101;314.20
20131201;315.04
20140101;311.39
20140201;312.70
20140301;312.68
20140401;313.89
20140501;314.05
20140601;314.70
20140701;313.67
20140801;313.35
20140901;313.85
20141001;314.02
20141101;313.56
20141201;314.05
20150101;310.75
20150201;312.93
20150301;313.19
20150401;313.16
20150501;314.24
20150601;313.33
20150701;313.43
20150801;312.81
20150901;314.06
20151001;314.29
20151101;313.75
20151201;314.21
20160101;313.13
20160201;314.14
20160301;315.70
20160401;315.64
20160501;316.21
20160601;316.54
20160701;316.73
20160801;316.38
20160901;316.91
20161001;318.00
20161101;318.10
20161201;319.68
20170101;317.50
20170201;319.73
20170301;319.68
20170401;321.54
20170501;321.74
20170601;321.97
20170701;323.69
20170801;323.18
20170901;323.62
20171001;323.38
20171101;324.04
20171201;325.23
20180101;322.51
20180201;324.87
20180301;325.76
20180401;327.10
20180501;327.86
20180601;328.62
20180701;330.33
20180801;329.63
20180901;331.14
20181001;330.72
20181101;330.40
20181201;331.87
20190101;328.56
20190201;331.02
20190301;331.79
20190401;334.11
20190501;334.95
20190601;334.47
20190701;335.80
20190801;334.39
20190901;335.95
20191001;336.04
20191101;336.36
20191201;337.68
20200101;332.82
20200201;334.47
20200301;333.91
20200401;332.90
20200501;334.91
20200601;336.84
20200701;337.57
20200801;337.07
20200901;337.27
20201001;336.97
20201101;337.00
20201201;339.34
20210101;338.09
20210201;339.01
20210301;339.54
20210401;340.37
20210501;341.04
20210601;341.32
20210701;342.23
20210801;343.99
20210901;345.74
20211001;346.44
20211101;348.03
20211201;352.47
20220101;350.56
20220201;353.56
20220301;359.80
20220401;362.02
20220501;365.82
20220601;370.95
20220701;371.28
20220801;377.81
20220901;383.21
20221001;384.04
20221101;387.93
